ISIN	Currency	Total Buy Count	Total Sell Count	Total Buy Quantity	Total Sell Quantity	Weighted Average Buy Price	Weighted Average Sell Price	Max Buy Price	Min Sell Price
GB00B1JQBT10	GBX	160		1225516		266.98141843925333		11666.666666666666	
GB00B1JQDM80	GBX	69		283218		1682.7849924792915		33913.04347826087	
GB00B1KJJ408	GBX	1496		131144		2939543.55517599		51520000.0	
GB00B1L5QH97	GBX	195		227328		11388.91821509009		84402.51572327044	
GB00B1N7Z094	GBX	196		54846		416110.5641250046		28850000.0	
GB00B1QH8P22	GBX	100		48294		116649.06613658012		792253.5211267605	
GB00B1V9NW54	GBX	201		32381		629872.4560699175		25550000.0	
GB00B1VNSX38	GBX	244		123701		131518.33857446586		33475000.0	
GB00B1VZ0M25	GBX	1731		558918		306582.89767014125		11138888.888888888	
GB00B1WY2338	GBX	1347		242962		778815.2056700225		17293750.0	
GB00B1XH2C03	GBX	279		402364		8640.310763388376		319500.0	
GB00B1XZS820	GBX	2666		213343		4761322.846308527		77480000.0	
GB00B1YKG049	GBX	94		374906		2354.2167903421123		2312500.0	
GB00B1YW4409	GBX	1400		325066		508869.27577784203		11885000.0	
GB00B1Z4ST84	GBX	69		76035		23099.099099099098		25060000.0	
GB00B1ZBKY84	GBX	197		316340		12029.114244167667		9740000.0	
GB00B23K0M20	GBX	113		935912		263.3036011932746		382000.0	
GB00B24CGK77	GBX	2179		105995		11946638.992405303		96500000.0	
